*author: ADAMCZYK
*reference: PRL 115,222301 : 2015
*reference: ARXIV:1505.07812 : 2015
*doi: 10.1103/PhysRevLett.115.222301
*status: Encoded 03 MAR 2016 by <Encoder Name>
*title: Azimuthal anisotropy in U+U and Au+Au collisions at RHIC
*comment: BNL-RHIC.  Collisions between prolate uranium nuclei are used to study how particle production and azimuthal anisotropies depend on initial geometry in heavy-ion collisions. We report the two- and four-particle cumulants, $v_2\{2\}$ and $v_2\{4\}$, for charged hadrons from U+U collisions at $\sqrt{s_{\rm NN}}$ = 193 GeV and Au+Au collisions at $\sqrt{s_{\rm NN}}$ = 200 GeV. Nearly fully overlapping collisions are selected based on the amount of energy deposited by spectators in the STAR Zero Degree Calorimeters (ZDCs). Within this sample, the observed dependence of $v_2\{2\}$ on multiplicity demonstrates that ZDC information combined with multiplicity can preferentially select different overlap configurations in U+U collisions. An initial-state model with gluon saturation describes the slope of $v_2\{2\}$ as a function of multiplicity in central collisions better than one based on Glauber with a two-component multiplicity model
*durhamId:
*inspireId: 1373553
*cdsId: 
*detector: STAR
*experiment: BNL-RHIC-STAR
*dataset:
*location: 
*dscomment: 
*obskey: SIG
*reackey: U+U
*qual: U+U: v2{2}
*xheader: Corrected Multiplicity
*yheader: v2
*data: x : y
828.0; 0.0105 +- 0.00177
849.0; 0.0119 +- 0.00139
870.0; 0.0123 +- 0.00148
892.0; -0.00637 +- 0.0139
914.0; 0.0138 +- 0.00174
932.0; -0.0123 +- 0.00356
947.0; 0.0149 +- 0.0029
961.0; 0.0168 +- 0.00309
975.0; 0.0167 +- 0.00483
*dataset:
*location: 
*dscomment: 
*obskey: SIG
*reackey: Au+Au
*qual: Au+Au: v2{2}
*xheader: Corrected Multiplicity
*yheader: v2
*data: x : y
5.49; 0.0754 +- 0.000229
16.5; 0.0718 +- 7.41e-05
27.5; 0.0708 +- 4.83e-05
38.5; 0.0719 +- 3.85e-05
49.5; 0.0733 +- 3.33e-05
60.6; 0.0746 +- 3e-05
71.7; 0.0755 +- 2.79e-05
82.8; 0.0763 +- 2.64e-05
93.9; 0.0766 +- 2.52e-05
105.0; 0.0768 +- 2.43e-05
116.0; 0.0768 +- 2.36e-05
128.0; 0.0765 +- 2.3e-05
139.0; 0.0762 +- 2.25e-05
150.0; 0.0757 +- 2.2e-05
162.0; 0.0749 +- 2.17e-05
173.0; 0.0742 +- 2.13e-05
185.0; 0.0734 +- 2.1e-05
196.0; 0.0725 +- 2.07e-05
208.0; 0.0715 +- 2.05e-05
220.0; 0.0704 +- 2.03e-05
231.0; 0.0693 +- 2e-05
243.0; 0.0681 +- 1.99e-05
255.0; 0.0669 +- 1.97e-05
267.0; 0.0656 +- 1.95e-05
279.0; 0.0643 +- 1.93e-05
291.0; 0.0629 +- 1.92e-05
304.0; 0.0615 +- 1.9e-05
316.0; 0.0601 +- 1.89e-05
328.0; 0.0586 +- 1.88e-05
341.0; 0.0572 +- 1.87e-05
354.0; 0.0557 +- 1.86e-05
366.0; 0.0541 +- 1.85e-05
379.0; 0.0526 +- 1.84e-05
392.0; 0.051 +- 1.83e-05
405.0; 0.0494 +- 1.83e-05
419.0; 0.0478 +- 1.83e-05
432.0; 0.0462 +- 1.82e-05
445.0; 0.0446 +- 1.82e-05
459.0; 0.0429 +- 1.81e-05
472.0; 0.0412 +- 1.82e-05
486.0; 0.0396 +- 1.82e-05
500.0; 0.0379 +- 1.82e-05
514.0; 0.0362 +- 1.83e-05
528.0; 0.0346 +- 1.84e-05
543.0; 0.033 +- 1.85e-05
557.0; 0.0313 +- 1.86e-05
572.0; 0.0298 +- 1.88e-05
586.0; 0.0283 +- 1.9e-05
601.0; 0.0269 +- 1.94e-05
616.0; 0.0256 +- 2e-05
631.0; 0.0246 +- 2.08e-05
647.0; 0.0236 +- 2.21e-05
662.0; 0.0229 +- 2.4e-05
678.0; 0.0223 +- 2.71e-05
693.0; 0.0219 +- 3.17e-05
709.0; 0.0214 +- 3.88e-05
725.0; 0.0211 +- 4.98e-05
741.0; 0.0209 +- 6.71e-05
758.0; 0.0207 +- 9.63e-05
774.0; 0.0206 +- 0.000144
791.0; 0.0206 +- 0.000227
808.0; 0.0204 +- 0.000376
824.0; 0.0208 +- 0.000656
842.0; 0.0223 +- 0.00115
859.0; 0.0217 +- 0.00218
876.0; 0.0242 +- 0.00315
*dataset:
*location: 
*dscomment: 
*obskey: SIG
*reackey: Au+Au
*qual: Au+Au: v2{4}
*xheader: Corrected Multiplicity
*yheader: v2
*data: x : y
27.5; 0.0401 +- 0.0024
38.5; 0.0485 +- 0.000973
49.5; 0.0538 +- 0.000624
60.6; 0.0554 +- 0.000528
71.7; 0.058 +- 0.000458
82.8; 0.0602 +- 0.0004
93.9; 0.0609 +- 0.000394
105.0; 0.0615 +- 0.000389
116.0; 0.0627 +- 0.000351
128.0; 0.0629 +- 0.000339
139.0; 0.0632 +- 0.000288
150.0; 0.0628 +- 0.000297
162.0; 0.0627 +- 0.000273
173.0; 0.0622 +- 0.000243
185.0; 0.0616 +- 0.000205
196.0; 0.061 +- 0.000166
208.0; 0.0603 +- 0.000111
220.0; 0.0594 +- 9.5e-05
231.0; 0.0586 +- 9.82e-05
243.0; 0.0576 +- 9.17e-05
255.0; 0.0565 +- 8.95e-05
267.0; 0.0554 +- 8.91e-05
279.0; 0.0542 +- 8.84e-05
291.0; 0.0529 +- 8.9e-05
304.0; 0.0517 +- 8.82e-05
316.0; 0.0502 +- 9.01e-05
328.0; 0.0488 +- 9.06e-05
341.0; 0.0474 +- 9.08e-05
354.0; 0.0459 +- 9.28e-05
366.0; 0.0444 +- 9.35e-05
379.0; 0.0428 +- 9.58e-05
392.0; 0.0413 +- 9.72e-05
405.0; 0.0397 +- 0.0001
419.0; 0.0379 +- 0.000105
432.0; 0.0364 +- 0.000107
445.0; 0.0345 +- 0.000114
459.0; 0.0327 +- 0.000119
472.0; 0.0308 +- 0.00013
486.0; 0.0287 +- 0.000144
500.0; 0.0268 +- 0.000157
514.0; 0.0247 +- 0.000178
528.0; 0.0226 +- 0.000207
543.0; 0.0203 +- 0.000255
